*******Working on gbb20001000

 ====== Comparing SRGbbB :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper    Error
                                     mtminbjets3 >= 120 :  86.40     84.97     1.68
             size(largejets) >= 4 ? mjsum4 >= 200 : ALL :  99.86     92.52     7.94
             size(largejets) == 3 ? mjsum3 >= 200 : ALL :  100.00    100.00    0.00
             size(largejets) == 2 ? mjsum2 >= 200 : ALL :  100.00    100.00    0.00
             size(largejets) == 1 ? mjsum1 >= 200 : ALL :  100.00    100.00    0.00
  
 ====== Comparing SRGtt1LM1 :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  11.32     11.32     0.00
                                     Size(leptons) >= 1 :  3.30      6.30     -47.59
                   Size(jets) >= 5 and size(bjets) >= 3 :  1.15      4.26     -73.07
                                             MET >= 600 :  0.56      2.51     -77.66
                                           meff >= 2000 :  0.50      2.32     -78.43
                                              mt >= 200 :  0.37      1.93     -80.65
                                     mtminbjets3 >= 120 :  0.33      1.65     -80.23
             size(largejets) >= 4 ? mjsum4 >= 200 : ALL :  0.32      1.47     -77.97
             size(largejets) == 3 ? mjsum3 >= 200 : ALL :  0.32      1.47     -78.02
             size(largejets) == 2 ? mjsum2 >= 200 : ALL :  0.32      1.47     -78.12
             size(largejets) == 1 ? mjsum1 >= 200 : ALL :  0.32      1.47     -78.12

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  100.00    100.00    0.00
                                     Size(leptons) >= 1 :  29.17     55.65    -47.59
                   Size(jets) >= 5 and size(bjets) >= 3 :  34.75     67.62    -48.61
                                             MET >= 600 :  48.87     58.92    -17.06
                                           meff >= 2000 :  89.23     92.43    -3.46
                                              mt >= 200 :  74.63     83.19    -10.29
                                     mtminbjets3 >= 120 :  87.36     85.49     2.18
             size(largejets) >= 4 ? mjsum4 >= 200 : ALL :  99.29     89.09     11.45
             size(largejets) == 3 ? mjsum3 >= 200 : ALL :  99.76     100.00   -0.24
             size(largejets) == 2 ? mjsum2 >= 200 : ALL :  99.52     100.00   -0.48
             size(largejets) == 1 ? mjsum1 >= 200 : ALL :  100.00    100.00    0.00

 ====== Comparing SRGtt1LM2 :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  11.32     11.32     0.00
                                     Size(leptons) >= 1 :  3.30      6.30     -47.59
                   Size(jets) >= 8 and size(bjets) >= 3 :  0.69      2.34     -70.68
                                             MET >= 500 :  0.41      1.67     -75.60
                                           meff >= 1100 :  0.41      1.67     -75.60
                                              mt >= 200 :  0.29      1.37     -78.48
                                     mtminbjets3 >= 120 :  0.25      1.15     -78.16
             size(largejets) >= 4 ? mjsum4 >= 100 : ALL :  0.25      1.14     -78.00
             size(largejets) == 3 ? mjsum3 >= 100 : ALL :  0.25      1.14     -78.00
             size(largejets) == 2 ? mjsum2 >= 100 : ALL :  0.25      1.14     -78.00
             size(largejets) == 1 ? mjsum1 >= 100 : ALL :  0.25      1.14     -78.00

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  100.00    100.00    0.00
                                     Size(leptons) >= 1 :  29.17     55.65    -47.59
                   Size(jets) >= 8 and size(bjets) >= 3 :  20.78     37.14    -44.06
                                             MET >= 500 :  59.39     71.37    -16.78
                                           meff >= 1100 :  100.00    100.00    0.00
                                              mt >= 200 :  72.36     82.04    -11.79
                                     mtminbjets3 >= 120 :  85.17     83.94     1.46
             size(largejets) >= 4 ? mjsum4 >= 100 : ALL :  99.85     99.13     0.72
             size(largejets) == 3 ? mjsum3 >= 100 : ALL :  100.00    100.00    0.00
             size(largejets) == 2 ? mjsum2 >= 100 : ALL :  100.00    100.00    0.00
             size(largejets) == 1 ? mjsum1 >= 100 : ALL :  100.00    100.00    0.00

 ====== Comparing SRGtt1LC :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper    Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  11.32     11.32     0.00
                                     Size(leptons) >= 1 :  3.30      6.30     -47.59
                   Size(jets) >= 9 and size(bjets) >= 3 :  0.42      1.44     -70.63
                                             MET >= 300 :  0.35      1.32     -73.73
                                            meff >= 800 :  0.35      1.32     -73.73
                                              mt >= 150 :  0.27      1.13     -75.86
                                     mtminbjets3 >= 120 :  0.23      0.91     -75.10

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL   Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  100.00    100.00    0.00
                                     Size(leptons) >= 1 :  29.17     55.65    -47.59
                   Size(jets) >= 9 and size(bjets) >= 3 :  12.81     22.86    -43.96
                                             MET >= 300 :  81.98     91.67    -10.57
                                            meff >= 800 :  100.00    100.00    0.00
                                              mt >= 150 :  78.68     85.61    -8.09
                                     mtminbjets3 >= 120 :  82.70     80.18     3.14

*******Working on gtb2200600

 ====== Comparing SRGtbB :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  27.72     27.72     0.00
                                              MET > 200 :  25.97     27.57    -5.79
                                     Size(leptons) == 0 :  18.45     15.93     15.83
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  14.33     12.08     18.59
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  14.32     12.08     18.58
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  14.32     12.08     18.58
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  14.32     12.08     18.58
            size(bjets) >= 3 ? mtminbjets3 >= 130 : ALL :  13.49     10.95     23.23
            size(bjets) == 2 ? mtminbjets2 >= 130 : ALL :  12.94     10.95     18.20
            size(bjets) == 1 ? mtminbjets1 >= 130 : ALL :  12.74     10.95     16.31
                                            meff > 2500 :  6.66      7.96     -16.39
                                              MET > 550 :  5.74      6.81     -15.72
             size(largejets) >= 4 ? mjsum4 >= 200 : ALL :  5.73      6.13     -6.52
             size(largejets) == 3 ? mjsum3 >= 200 : ALL :  5.72      6.13     -6.66
             size(largejets) == 2 ? mjsum2 >= 200 : ALL :  5.72      6.13     -6.71
             size(largejets) == 1 ? mjsum1 >= 200 : ALL :  5.72      6.13     -6.71

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  100.00    100.00    0.00
                                              MET > 200 :  93.70     99.46    -5.79
                                     Size(leptons) == 0 :  71.04     57.78     22.95
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  77.64     75.83     2.38
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  99.99     100.00   -0.01
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  100.00    100.00    0.00
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  100.00    100.00    0.00
            size(bjets) >= 3 ? mtminbjets3 >= 130 : ALL :  94.20     90.65     3.93
            size(bjets) == 2 ? mtminbjets2 >= 130 : ALL :  95.91     100.00   -4.09
